"title","prof","subject","courseQuestions","learningQuestions","instructorQuestions","wouldRecommend","spentMinimum","spentLow","spentMedium","spentHigh","spentMax"
"CS4770 Cryptography","Oprea, Alina","CS",4.6,5,4.2,4.3,NA,NA,100,NA,NA
"CS4800 Algorithms  Data","Brown, Nicholas","CS",3.85,3.8,4.15,4.3,11,NA,38,24,10.5
"CS4800 Algorithms  Data","Gold, Kevin","CS",4.15,4.6,4.4,4.5,NA,NA,32,50,NA
"CS4800 Algorithms  Data","Nguyen, Huy","CS",3.65,3.5,4.25,4.3,NA,NA,NA,32,25
"CS4800 Algorithms  Data","Ossowski, Jacek","CS",3.875,3.7,4.225,4.25,NA,28.5,NA,32.25,14.25
"CS4800 Algorithms  Data","Shelat, Abhi","CS",4.2,4.2,4.3,4.3,4,8,27,35,27
"CS4800 Algorithms  Data","Sundaram, Ravi","CS",3.9,3.6,4.2,4.2,NA,26,NA,56,11
"CS4850 Building Game Engines","Brown, Nicholas","CS",4,4.3,4.25,4.3,18,40.5,36,NA,NA
"CS5001 Intensive Foundations of CS","Gust, Philip","CS",3.5,3.8,4.2,4.3,NA,8,25,17,50
"CS5001 Intensive Foundations of CS","Razzaq, Leena","CS",4.2,4.35,4.25,4.3,NA,5.5,20,37.5,37
"CS5001 Intensive Foundations of CS","Skoteiniotis, Therapon","CS",4.43333333333333,4.86666666666667,4.23333333333333,4.23333333333333,NA,NA,25.3333333333333,41.6666666666667,29.6666666666667
"CS5002 Discrete and Data Structures","Eller, Marlin","CS",3.5,3.8,4.3,4.3,NA,27,19,31,23
"CS5002 Discrete and Data Structures","Gold, Kevin","CS",4.4,4.8,4.3,4.3,NA,14,27,32,27
"CS5002 Discrete and Data Structures","Gray, David","CS",3.5,3.2,4.3,4.3,NA,27,19,31,23
"CS5002 Discrete and Data Structures","Gust, Philip","CS",3.6,3.8,4.2,4.3,9,NA,27,18,45
"CS5002 Discrete and Data Structures","Rao, Vinayak","CS",3.3,3.15,4.2,4.2,NA,24.5,33.5,29.5,NA
"CS5002 Discrete and Data Structures","Schnyder, Walter","CS",3.6,3.7,4.2,4.3,11,28,NA,44,11
"CS5003 Recitation for CS 5001","Gust, Philip","CS",3.8,3.7,4.2,4.3,NA,20,20,20,40
"CS5003 Recitation for CS 5001","Razzaq, Leena","CS",3.95,3.9,4.25,4.3,22.5,32.5,12.5,17.5,15
"CS5003 Recitation for CS 5001","Skoteiniotis, Therapon","CS",4.5,4.65,4.25,4.25,23,25,20.5,19,12.5
"CS5004 Object-Oriented Design","Shesh, Amit","CS",4.5,4.8,4.2,4.3,NA,NA,5,23,73
"CS5004 Object-Oriented Design","Skoteiniotis, Therapon","CS",4.36666666666667,4.76666666666667,4.16666666666667,4.2,NA,NA,NA,53,NA
"CS5004 Object-Oriented Design","Zontak, Maria","CS",4.5,3.3,4.2,4.3,NA,4,13,21,63
"CS5005 Recitation for CS 5004","Shesh, Amit","CS",4.6,4.7,4.2,4.3,53,18,6,6,18
"CS5005 Recitation for CS 5004","Skoteiniotis, Therapon","CS",4.3,4.5,4.2,4.26666666666667,NA,19.6666666666667,27,NA,NA
"CS5005 Recitation for CS 5004","Zontak, Maria","CS",4.3,3.3,4.2,4.3,NA,22.5,33.5,NA,NA
"CS5006 Algorithms","Buck, Joseph","CS",3.45,3.4,4.2,4.25,NA,NA,27,NA,33.5
"CS5006 Algorithms","Hamed, Ahmed","CS",2.6,2.9,3.6,3.8,59,35,6,NA,NA
"CS5006 Algorithms","Rao, Vinayak","CS",2.6,2.3,4.1,4.1,NA,NA,NA,NA,75
"CS5007 Computer Systems","Buck, Joseph","CS",3.65,3.6,3.9,4,NA,NA,NA,37.5,27
"CS5007 Computer Systems","Hamed, Ahmed","CS",2.2,2.1,4.2,4.3,53,37,5,NA,5
"CS5007 Computer Systems","Rao, Vinayak","CS",3.1,2.5,4.1,4.1,NA,13,13,50,25
"CS5010 Programming Design Paradigm","Clinger, William","CS",3.58,3.78,4.22,4.26,NA,NA,NA,45.8,NA
"CS5010 Programming Design Paradigm","Cooper, Ezra","CS",3.9,3.9,4.3,4.3,NA,NA,NA,86,NA
"CS5010 Programming Design Paradigm","Gold, Kevin","CS",3.6,4.3,4.2,4.2,NA,NA,NA,91,NA
"CS5010 Programming Design Paradigm","Miller, James","CS",4,4.3,4.25,4.25,NA,NA,NA,89,NA
"CS5010 Programming Design Paradigm","Wand, Mitchell","CS",3.55,3.925,4.25,4.25,NA,NA,2.5,11.25,85.5
"CS5011 Recitation For CS 5010","Clinger, William","CS",3.5,3.5375,4.2,4.25,33.5,NA,NA,NA,NA
"CS5011 Recitation For CS 5010","Miller, James","CS",3.9,4.3,4.25,4.25,12,NA,6.5,NA,76.5
"CS5011 Recitation For CS 5010","Wand, Mitchell","CS",3.6125,3.8625,4.25,4.25,40.375,NA,NA,NA,NA
"CS5100 Fndtns Artificial Intellegence","Amato, Christopher","CS",3.8,3.7,4.3,4.3,NA,6,44,33,17
"CS5100 Fndtns Artificial Intellegence","Folajimi, Yetunde","CS",3.8,3.3,4.4,4.5,NA,11,22,33,33
"CS5100 Fndtns Artificial Intellegence","Hoover, Amy","CS",3.6,3.4,4.2,4.2,30,33,NA,18,15
"CS5100 Fndtns Artificial Intellegence","Mulkar-Mehta, Rutu","CS",4,3.8,4.3,4.3,NA,27,33,NA,27
"CS5100 Fndtns Artificial Intellegence","Platt, Robert","CS",3.85,3.65,4.2,4.25,NA,20,37,NA,18.5
"CS5150 Game Artificial Intelligence","Folajimi, Yetunde","CS",2.8,2.5,4.2,4.2,9,18,27,18,27
"CS5150 Game Artificial Intelligence","Seif El-Nasr, Magy","CS",3.7,3.3,4.2,4.3,NA,15,31,23,31
"CS5200 Database Management Sys","Baclawski, Kenneth","CS",4.22,4.4,4.22,4.24,NA,13.2,NA,35.4,18.8
"CS5200 Database Management Sys","Chhay, Bruce","CS",4.1,4.35,4.225,4.25,NA,37.25,NA,24.25,NA
"CS5310 Computer Graphics","Cooper, Seth","CS",4.3,4,4.2,4.2,NA,33,NA,33,33
"CS5330 Pattern Recogn  Comput Vision","Zontak, Maria","CS",3.9,4,4.2,4.3,NA,10,50,10,30
"CS5335 Robotic Science and Systems","Platt, Robert","CS",3.85,4,4.25,4.25,NA,NA,53,32,NA
"CS5340 Computer/Human Interaction","Parker, Andrea","CS",4.05,4.4,4.25,4.25,NA,10,30,32,28
"CS5400 Principles of Programming Lang","Barzilay, Eliyahu","CS",4.275,4.475,4.225,4.25,NA,41.75,NA,NA,NA
"CS5500 Managing Software Development","Clinger, William","CS",4.2,4.6,4.3,4.3,11,NA,44,33,11
"CS5500 Managing Software Development","Ewart, John","CS",3.9,4.26666666666667,4.2,4.2,NA,NA,NA,NA,NA
"CS5500 Managing Software Development","Tip, Frank","CS",3.6,3.9,4.2,4.3,NA,10,40,50,NA
"CS5500 Managing Software Development","Weintraub, Michael","CS",3.96666666666667,4.5,4.21666666666667,4.23333333333333,NA,NA,NA,37.3333333333333,34.8333333333333
"CS5520 Mobile Application Development","Intille, Stephen","CS",3.9,4.15,4.2,4.25,NA,NA,10,27,59.5
"CS5520 Mobile Application Development","Slaughter, Adrienne","CS",3.4,3.4,4.2,4.3,NA,30,40,20,NA
"CS5600 Computer Systems","Arya, Kapil","CS",4.33333333333333,4.5,4.23333333333333,4.26666666666667,NA,NA,NA,47.6666666666667,NA
"CS5600 Computer Systems","Cooperman, Gene","CS",4.2,4.3,4.2,4.2,8,NA,31,23,38
"CS5600 Computer Systems","Desnoyers, Peter","CS",4.25,4.35,4.25,4.25,NA,22,NA,33.5,18
"CS5600 Computer Systems","Rao, Vinayak","CS",4.2,3.8,4.3,4.3,NA,NA,NA,75,NA
"CS5600 Computer Systems","Skoteiniotis, Therapon","CS",3.95,4.45,4.25,4.25,NA,NA,NA,47.5,NA
"CS5610 Web Development","Annunziato, Jose","CS",4.53333333333333,4.77777777777778,4.24444444444444,4.27777777777778,NA,NA,NA,35.3333333333333,33.8888888888889
"CS5610 Web Development","Huo, Ming","CS",3.85,3.65,4.25,4.25,NA,NA,24.5,37.5,34
"CS5700 Fundamentals - Computer Netwkg","Choffnes, David","CS",4.33333333333333,4.53333333333333,4.23333333333333,4.26666666666667,NA,NA,13.6666666666667,19.6666666666667,63.6666666666667
"CS5700 Fundamentals - Computer Netwkg","Firouzbakht, Koorosh","CS",3.3,2.8,4.2,4.2,8,24,26,29,13
"CS5700 Fundamentals - Computer Netwkg","Sun, Zhifeng","CS",4.4,4.9,4.3,4.3,NA,7,50,7,36
"CS5770 Software Vulnerabilities","Bonaci, Tamara","CS",3.6,3.5,4.15,4.2,NA,NA,NA,NA,43.5
"CS5770 Software Vulnerabilities","Kirda, Engin","CS",4.55,4.85,4.25,4.25,NA,15.5,NA,29,35.5
"CS5770 Software Vulnerabilities","Robertson, William","CS",4.26666666666667,4.23333333333333,4.2,4.23333333333333,NA,32,NA,NA,NA
"CS5800 Algorithms","Adler, Micah","CS",4.3,4.4,4.2,4.3,NA,NA,40,NA,40
"CS5800 Algorithms","Kantor, Erez","CS",3.85,3.25,4.3,4.35,NA,NA,16,35,44
"CS5800 Algorithms","Pavlu, Virgil","CS",4.5,4.6,4.2,4.3,NA,3,8,38,51
"CS5800 Algorithms","Rajaraman, Rajmohan","CS",4.5,4.8,4.3,4.3,2,9,17,15,57
"CS5800 Algorithms","Song, Hosung","CS",3.8,4.2,4.3,4.3,NA,17,17,67,NA
"CS5800 Algorithms","Sun, Zhifeng","CS",4.52,4.84,4.26,4.26,NA,NA,19.4,40.6,37.2
"CS5800 Algorithms","Sundaram, Ravi","CS",3.9,4,4.2,4.2,NA,18,21,25,36
"CS5800 Algorithms","Viola, Emanuele","CS",3.725,3.575,4.3,4.325,NA,NA,37,27.5,27.5
"CS5850 Building Game Engines","Brown, Nicholas","CS",3.85,4.15,4.25,4.3,NA,NA,NA,NA,NA
"CS6120 Natural Language Processing","Smith, David","CS",3.6,3.7,4.23333333333333,4.26666666666667,NA,18.3333333333333,NA,21.3333333333333,NA
"CS6130 Affective Computing","Marsella, Stacy","CS",4.1,4.5,4.2,4.2,NA,25,25,50,NA
"CS6140 Machine Learning","Elhamifar, Ehsan","CS",4.2,4,4.3,4.3,NA,NA,9,36,55
"CS6140 Machine Learning","Pavlu, Virgil","CS",4.7,4.9,4.2,4.2,NA,NA,NA,89,NA
"CS6140 Machine Learning","Small, Kevin","CS",3.7,3.65,4.2,4.25,NA,NA,NA,46.5,NA
"CS6140 Machine Learning","Vitek, Olga","CS",3.8,3.8,4.2,4.3,NA,6,6,33,56
"CS6140 Machine Learning","Wang, Lu","CS",3.9,3.85,4.2,4.25,NA,NA,23,44.5,18.5
"CS6200 Information Retrieval","Murdock, Vanessa","CS",4.1,4,4.2,4.2,NA,NA,33,33,33
"CS6200 Information Retrieval","Naji, Nada","CS",4.11666666666667,4.3,4.23333333333333,4.25,NA,15.1666666666667,NA,37.5,16.6666666666667
"CS6200 Information Retrieval","Pavlu, Virgil","CS",4.45,4.8,4.35,4.3,NA,7,17,28,48
"CS6200 Information Retrieval","Smith, David","CS",3.8,3.8,4.2,4.2,NA,15,32,35,18
"CS6200 Information Retrieval","Yang, Zaihan","CS",4,3.6,4.2,4.2,NA,13,25,50,13
"CS6220 Data Mining Techniques","Aguiar, Everaldo","CS",4.15,4.4,4.25,4.3,NA,33,29,23.5,NA
"CS6220 Data Mining Techniques","Eliassi-Rad, Tina","CS",4.7,4.8,4.2,4.3,10,30,30,30,NA
"CS6220 Data Mining Techniques","Small, Kevin","CS",4.1,4.4,4.2,4.2,NA,20,40,20,20
"CS6220 Data Mining Techniques","Sun, Yizhou","CS",4.1,4.4,4.2,4.2,NA,NA,NA,32.5,42.5
"CS6220 Data Mining Techniques","Van De Meent, Jan-Willem","CS",3.8,4.1,4.25,4.3,NA,NA,NA,25,58.5
"CS6220 Data Mining Techniques","Vitek, Olga","CS",4,4.1,4.2,4.2,NA,20,25,30,25
"CS6220 Data Mining Techniques","Zhao, Yijun","CS",4.1,4.2,4.3,4.3,NA,17,33,25,25
"CS6240 Parallel Data Processing","Laskin, Rachel","CS",4.2,4.3,4.2,4.2,3,10,34,31,21
"CS6240 Parallel Data Processing","Riedewald, Mirek","CS",4.7,4.9,4.23333333333333,4.3,NA,NA,NA,41,NA
"CS6240 Parallel Data Processing","Tuck, Nathaniel","CS",3.93333333333333,3.9,4.23333333333333,4.23333333333333,NA,NA,NA,52,NA
"CS6240 Parallel Data Processing","Vitek, Jan","CS",4,4,4.2,4.2,NA,NA,NA,96,NA
"CS6240 Parallel Data Processing","Wu, Ming-Chuan","CS",4.2,4.23333333333333,4.16666666666667,4.2,NA,NA,NA,35,NA
"CS6350 Empirical Research Methods","Bickmore, Timothy","CS",4.3,4.35,4.2,4.25,17.5,17.5,NA,40,NA
"CS6410 Compilers","Lerner, Benjamin","CS",4.4,4.9,4.2,4.3,NA,14,14,14,57
"CS6410 Compilers","Shivers III, Olin","CS",4.6,4.5,4.2,4.2,NA,17,17,33,33
"CS6510 Advanced Software Development","Gorton, Ian","CS",4.375,4.425,4.2,4.25,NA,NA,NA,47.25,NA
"CS6650 Scalable Distributed Systems","Gorton, Ian","CS",4.1,4.7,4.25,4.3,NA,NA,22.5,NA,67.5
"CS6710 Wireless Network","Firouzbakht, Koorosh","CS",2.8,2.2,4.2,4.3,NA,40,NA,40,NA
"CS6710 Wireless Network","Noubir, Guevara","CS",4.1,4.3,4.2,4.2,33,33,NA,NA,33
"CS6740 Network Security","Nita-Rotaru, Cristina","CS",4.3,4.8,4.2,4.2,6,12,35,24,24
"CS6740 Network Security","Noubir, Guevara","CS",4.36666666666667,4.43333333333333,4.23333333333333,4.26666666666667,NA,NA,NA,34.3333333333333,36.3333333333333
"CS6750 Cryptography  Comm Security","Chandrasekaran, Pandurangan","CS",4.2,4.2,4.4,4.5,NA,20,20,NA,60
"CS6750 Cryptography  Comm Security","Oprea, Alina","CS",4.3,5,4.2,4.3,NA,NA,NA,25,50
"CS6800 App of Information Theory","Aslam, Javed","CS",4.8,5,4.2,4.2,NA,43,NA,14,29
"CS6964 Co-op Work Experience","Cengic, Smajl","CS",4.4,4.4,4.2,4.2,33,11,11,NA,44
"CS6964 Co-op Work Experience","McCune, Kathryn","CS",4.5,4.6,4.2,4.2,NA,57,NA,NA,29
"CS6964 Co-op Work Experience","Mesch, Francisco","CS",3.1,4.5,4.2,4.2,NA,NA,NA,NA,NA
"CS6964 Co-op Work Experience","Rosen, Karyn","CS",3.4,4.5,4.2,4.2,NA,NA,50,NA,50
"CS6964 Co-op Work Experience","Vander Laan, Kathleen","CS",4.3,4.8,4.2,4.2,40,NA,20,NA,40
"CS7140 Advanced Machine Learning","Dy, Jennifer","CS",4.1,4,4.2,4.2,6,11,33,39,11
"CS7180 Spec Top - Artif Intelligence","Elhamifar, Ehsan","CS",4.3,4.7,4.2,4.3,NA,NA,NA,50,33
"CS7180 Spec Top - Artif Intelligence","Wallace, Byron","CS",4.6,5,4.3,4.3,20,40,20,20,NA
"CS7180 Spec Top - Artif Intelligence","Wang, Lu","CS",4.7,5,4.2,4.2,NA,NA,33,33,33
"CS7280 Spec Topics in Database Mgmt","Borkin, Michelle","CS",4.3,4.5,4.3,4.3,NA,5,32,36,27
"CS7280 Spec Topics in Database Mgmt","Dunne, Cody","CS",4.1,4.4,4.3,4.3,NA,29,29,43,NA
"CS7280 Spec Topics in Database Mgmt","Vitek, Olga","CS",4.35,4.5,4.25,4.25,NA,NA,NA,NA,61
"CS7400 Int Principle Programming Lang","Ahmed, Amal","CS",4.15,4.55,4.2,4.25,NA,NA,NA,38.5,46
"CS7480 Spec Topics: Programming Lang","Ahmed, Amal","CS",4.6,4.7,4.2,4.2,NA,17,50,NA,33
"CS7480 Spec Topics: Programming Lang","Felleisen, Matthias","CS",4.7,4.8,4.2,4.3,17,33,50,NA,NA
"CS7480 Spec Topics: Programming Lang","Tip, Frank","CS",4.6,4.6,4.3,4.3,20,NA,40,NA,40
"CS7485 Special Topics: Formal Methods","Wahl, Thomas","CS",4.3,5,4.2,4.2,NA,40,NA,40,NA
"CS7600 Intensive Computer Systems","Desnoyers, Peter","CS",3.75,3.8,4.25,4.25,NA,14,37.5,14,29
"CS7680 Spec Topics Computer Systems","Cooperman, Gene","CS",4.4,4.7,4.2,4.3,NA,33,33,NA,33
"CS7680 Spec Topics Computer Systems","Desnoyers, Peter","CS",4.2,4.2,4.2,4.2,NA,8,8,33,50
"CS7680 Spec Topics Computer Systems","Miller, Heather","CS",4.7,4.9,4.3,4.3,NA,50,NA,NA,33
"CS7680 Spec Topics Computer Systems","Nita-Rotaru, Cristina","CS",4.9,5,4.2,4.3,NA,NA,33,33,33
"CS7775 Seminar in Computer Security","Oprea, Alina","CS",4.5,4.9,4.3,4.3,11,11,11,44,22
"CS7780 Spec Topics Networks","Choffnes, David","CS",4.5,4.7,4.2,4.2,NA,29,29,NA,29
"CS7800 Advanced Algorithms","Ullman, Jonathan","CS",4.45,4.7,4.25,4.25,NA,9.5,NA,46.5,35.5
"CS7805 Theory of Computation","Manolios, Pete","CS",3.6,3,4.2,4.2,NA,NA,13,38,50
"CS7805 Theory of Computation","Wichs, Daniel","CS",4.2,4.6,4.2,4.3,NA,30,20,30,20
"CS7880 Spec Topic Theory of Comp Sci","Rajaraman, Rajmohan","CS",4.6,5,4.2,4.2,NA,33,NA,33,33
"CS7880 Spec Topic Theory of Comp Sci","Ullman, Jonathan","CS",4.4,5,4.2,4.3,NA,20,60,20,NA
"CS7880 Spec Topic Theory of Comp Sci","Wichs, Daniel","CS",5,4.8,4.2,4.2,NA,NA,NA,75,NA
"CSYE6200 Concpts of Object-Oriented Des","Munson, Mark","CSYE",4.26,4.4,4.32,4.26,NA,13.2,33,27.6,23.6
"CSYE6200 Concpts of Object-Oriented Des","Peters, Daniel","CSYE",4.06666666666667,4.23333333333333,4.33333333333333,4.26666666666667,10,32.3333333333333,NA,23.3333333333333,NA
"CSYE6202 Object-Oriented Design w/C#","Yanmaz, Baris","CSYE",4.5,4.85,4.3,4.3,NA,NA,NA,46,NA
"CSYE6205 Concept of Obj Orient Dsgn C++","Peters, Daniel","CSYE",4.4,4.55,4.325,4.275,NA,NA,31.25,NA,22.75
"CSYE6220 Enterprise Software Design","Berajawala, Suneil","CSYE",3.925,3.825,4.325,4.275,NA,NA,NA,32.25,NA
"CSYE6225 Netwrk Strctrs  Cloud Cmpting","Biran, Yahav","CSYE",3.95,3.8,4.3,4.25,NA,25,45,NA,NA
"CSYE6225 Netwrk Strctrs  Cloud Cmpting","Cooper, Julian","CSYE",3.525,3.65,4.325,4.275,NA,NA,NA,36.25,27
"CSYE6225 Netwrk Strctrs  Cloud Cmpting","Parikh, Tejas","CSYE",4.5,4.6,4.4,4.3,NA,NA,18,46,36
"CSYE7200 Big-Data Sys Engr Using Scala","Hillyard, Robin","CSYE",4.225,4.325,4.325,4.275,NA,NA,NA,44,NA
"CSYE7215 Parallel  Multithreaded Prog","Kokar, Mieczyslaw","CSYE",4,4.1,4.325,4.275,NA,NA,26.75,NA,23.75
"CSYE7230 Software Engineering","Kokar, Mieczyslaw","CSYE",4,4,4.3,4.3,NA,32,42,NA,21
"CSYE7245 Big Data Sys  Int Analytics","Das, Subrata","CSYE",4.1,3.95,4.35,4.25,NA,21,NA,NA,46
"CSYE7250 Big Data Arch and Governance","Heydari, Kambiz","CSYE",4.2,4.35,4.35,4.25,NA,25.5,41,NA,NA
"CSYE7250 Plan/Manage Big-Data Projects","Heydari, Kambiz","CSYE",4,4.2,4.3,4.3,NA,NA,66.5,NA,NA
"CSYE7280 Adv User Exper Design/Testing","Chawla, Vishal","CSYE",4.3,4.4,4.3,4.3,8,15,31,31,15
"CSYE7280 User Experience Design/Testing","Chawla, Vishal","CSYE",4.35,4.36666666666667,4.43333333333333,4.38333333333333,NA,29.6666666666667,NA,NA,NA
"CSYE7374 Special Topics: Comp Sys Engr","Krishnamurthy, Srikanth","CSYE",4.1,3.8,4.3,4.15,NA,NA,NA,48.5,NA
"DA5020 Collect/Store/Retrieve Data","Durant, Kathleen","DA",4.3,4.5,4.3,4.3,NA,6,36,44,14
"DA5020 Collect/Store/Retrieve Data","Razzaq, Leena","DA",4.2,4.5,4.3,4.3,6,17,28,33,17
"DA5030 Intro Data Mining/Machine Lrn","Brown, Nicholas","DA",4.1,4.4,4.3,4.3,NA,28,NA,NA,22
"DA5030 Intro Data Mining/Machine Lrn","Das, Subrata","DA",3.75,3.2,4.3,4.3,22.5,17.5,17.5,NA,32.5
"DEAF1500 Deaf People in Society","Bournazian, Alma","DEAF",4,4.35,4.45,4.25,33.5,NA,26.5,NA,NA
"DEAF1500 Deaf People in Society","Cokely, Dennis","DEAF",4,4.2,4.45,4.25,33.5,NA,26.5,NA,NA
"DEAF2500 Deaf History and Culture","Cokely, Dennis","DEAF",4.3,4.5,4.45,4.25,23,NA,42.5,NA,NA
"DEAF2500 Deaf History and Culture","Lipsky, James","DEAF",4.3,4.9,4.45,4.25,23,NA,42.5,NA,NA
"DEAF2700 ASL Linguistics","Perry, Deborah","DEAF",4.15,4.4,4.35,4.4,NA,NA,NA,NA,NA
"DS4100 Data Collection  Analysis","Schedlbauer, Martin","DS",4.35,4.65,4.45,4.35,NA,NA,55,32,NA
"DS4200 Information Visualization","Borkin, Michelle","DS",3.6,4.1,4.4,4.5,7,60,27,7,NA
"DS5020 Intro Linear Algebra  Prob","Shafai, Bahram","DS",4.5,4.6,4.4,4.5,10,10,30,40,10
"DS5110 Intro to Data Management","Vitek, Jan","DS",4.2,4.6,4.4,4.5,NA,14,14,29,43
"DS5220 Supervised Machine Learning","Coll-Font, Jaume","DS",4.2,4.2,4.4,4.5,NA,19,35,27,19
"DS5220 Supervised Machine Learning","Vitek, Olga","DS",3.9,4.3,4.4,4.5,NA,17,NA,33,50
"DS6020 Collect/Store/Retrieve Data","Brown, Nicholas","DS",3.95,4.05,4.2,4.4,NA,30,NA,23,22
"DS6020 Collect/Store/Retrieve Data","Vitek, Jan","DS",3.95,3.6,4.2,4.4,NA,30,NA,23,22
"DS6030 Intro Data Mining/Machine Lrn","Brown, Nicholas","DS",3.8,4.1,4.2,4.4,10,20,30,10,30
"DSCS6020 Collect/Store/Retrieve Data","Das, Subrata","DSCS",3.8,3.6,4.1,4.1,NA,40,20,40,NA
"DSCS6020 Collect/Store/Retrieve Data","Durant, Kathleen","DSCS",3.8,3.9,4.2,4.2,3,10,30,20,37
"DSCS6020 Collect/Store/Retrieve Data","Schedlbauer, Martin","DSCS",4.05,4.1,4.4,4.35,NA,NA,26.5,43.5,27.5
"DSCS6030 Intro Data Mining/Machine Lrn","Brown, Nicholas","DSCS",3.96666666666667,3.9,4.16666666666667,4.16666666666667,NA,NA,29.3333333333333,NA,41.3333333333333
"DSSH6301 Intro Computational Statistics","Beauchamp, Nicholas","DSSH",4.35,4.6,4.6,4.65,NA,NA,36,46,11
"DSSH6301 Intro Computational Statistics","Czerminski, Ryszard","DSSH",3.65,3.35,4.55,4.5,NA,NA,NA,32,49
"DSSH6302 Info Design  Visual Analytics","Holroyd, Michael","DSSH",4.2,4.7,4.5,4.5,NA,NA,22,44,22
"DSSH6302 Info Design  Visual Analytics","Offenhuber, Dietmar","DSSH",4.3,4.8,4.6,4.5,NA,NA,63,25,NA
"ECNM1115 Principles of Macroeconomics","Fell, Peter","ECNM",4.4,4.6,4.5,4.425,NA,NA,NA,NA,NA
"ECNM1115 Principles of Macroeconomics","Mulumba, Jean-Pierre","ECNM",4.13636363636364,3.84545454545455,4.5,4.46363636363636,NA,NA,NA,NA,NA
"ECNM1115 Principles of Macroeconomics","Overlan, Lawrence","ECNM",4.36666666666667,4.38333333333333,4.5,4.46666666666667,NA,NA,NA,NA,NA
"ECNM1116 Principles of Microeconomics","Okojie, Prince Raphael","ECNM",4.1,4,4.5,4.5,NA,25,75,NA,NA
"ECON1000 Economics at NU","Kimelman, Nancy","ECON",4,4.3,4.1,4.1,NA,89,NA,NA,8
"ECON1000 Economics at NU","Repici, Justin","ECON",3.5,4,4.2,4.2,91,6,4,NA,NA
"ECON1115 Principles of Macroeconomics","Batkeyev, Birzhan","ECON",3.6,3.6,4.2,4.4,14,NA,45,27,9
"ECON1115 Principles of Macroeconomics","De Remer, David","ECON",3.1,2.8,4.4,4.3,NA,11,67,22,NA
"ECON1115 Principles of Macroeconomics","Erten, Bilge","ECON",3.93333333333333,4.33333333333333,4.16666666666667,4.13333333333333,46.3333333333333,NA,22,NA,NA
"ECON1115 Principles of Macroeconomics","Fister, Joanna","ECON",4.2,4.7,4.2,4.3,NA,23,77,NA,NA
"ECON1115 Principles of Macroeconomics","Kimelman, Nancy","ECON",3.75,4,4.15,4.15,31.5,NA,43,21.5,NA
"ECON1115 Principles of Macroeconomics","Petkov, Ivan","ECON",4.3,4.4,4.1,4.1,NA,NA,69,23,NA
"ECON1115 Principles of Macroeconomics","Porter, Gerald","ECON",3.8,3.8,4.2,4.2,17,39,NA,18,NA
"ECON1115 Principles of Macroeconomics","Simon, Peter","ECON",3.97,4.2,4.27,4.21,31.6,NA,NA,20.6,NA
"ECON1115 Principles of Macroeconomics","Tirgil, Abdullah","ECON",2.9,2.5,4.2,4.3,18,NA,55,NA,18
"ECON1115 Principles of Macroeconomics","Zhang, Hanchun","ECON",3.75,3.55,4.2,4.35,NA,35,42.5,NA,NA
"ECON1116 Principles of Microeconomics","Batkeyev, Birzhan","ECON",3.9,4.4,4.2,4.3,NA,29,38,NA,29
"ECON1116 Principles of Microeconomics","Casso Dominguez, Carlos","ECON",4.15,4.6,4.2,4.35,NA,31,NA,29,NA
"ECON1116 Principles of Microeconomics","Herrera Almanza, Catalina","ECON",3.95,3.9,4.3,4.25,19,42,NA,19.5,14
"ECON1116 Principles of Microeconomics","Kim, Sungwoo","ECON",3.7,3.7,4.3,4.2,NA,NA,40,20,NA
"ECON1116 Principles of Microeconomics","Lausev Nikolic, Jelena","ECON",3.825,3.75,4.25,4.2,23,NA,NA,25,NA
"ECON1116 Principles of Microeconomics","Lemon, Andrew","ECON",4,4.15,4.3,4.25,NA,NA,29.5,42,NA
"ECON1116 Principles of Microeconomics","Naim, Nehan","ECON",3.9,4,4.2,4.4,10,38,33,19,NA
"ECON1116 Principles of Microeconomics","Peterson, Steven","ECON",4.1,4.5,4.4,4.3,NA,NA,15,62,15
"ECON1116 Principles of Microeconomics","Porter, Gerald","ECON",4.2,4.4,4.25,4.25,22.5,NA,NA,22.5,NA
"ECON1116 Principles of Microeconomics","Pritchard, Robert","ECON",3.85,3.825,4.15,4.15,20,NA,NA,20.5,NA
"ECON1116 Principles of Microeconomics","Stone, Michael","ECON",4.31428571428571,4.84285714285714,4.3,4.22857142857143,42.5714285714286,NA,28.2857142857143,NA,NA
"ECON1116 Principles of Microeconomics","Wright, Ian","ECON",3.85,3.75,4.1,4.1,33.5,NA,40.5,19.5,NA
"ECON1125 Recitation for ECON 1115","Batkeyev, Birzhan","ECON",4.25,4.3375,4.25,4.2,NA,NA,NA,NA,NA
"ECON1125 Recitation for ECON 1115","Fister, Joanna","ECON",4.2875,4.7,4.25,4.2,NA,NA,NA,NA,NA
"ECON1125 Recitation for ECON 1115","Naim, Nehan","ECON",4,4.5625,4.25,4.2,NA,NA,NA,NA,NA
"ECON1125 Recitation for ECON 1115","Piao, Richeng","ECON",4.23333333333333,4.3,4.26666666666667,4.2,65.4166666666667,NA,NA,NA,NA
"ECON1125 Recitation for ECON 1115","Shi, Xiaolin","ECON",4.075,4.125,4.23333333333333,4.2,69.5833333333333,NA,NA,NA,NA
"ECON1125 Recitation for ECON 1115","Tirgil, Abdullah","ECON",3.6875,3.6625,4.25,4.2,NA,NA,NA,NA,NA
